H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod       10 dzeit  5.77E-02 agej  1.7100E-01
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  5.25883E+00
 # densp  4.24452E+25
 # densa  4.15132E+24
 # total_energy_flux_[erg/(g*s)]  5.26243E+08
  571    55. 127.   1   1.00004E-99  CS127
  572    55. 128.   1   1.00004E-99  CS128
  573    55. 129.   1   1.00004E-99  CS129
  574    55. 130.   1   1.00004E-99  CS130
  575    55. 131.   1   2.85478E-15  CS131
  576    55. 132.   1   2.67637E-24  CS132
  577    55. 133.   1   1.24980E-09  CS133
  578    55. 134.   1   2.00565E-12  CS134
  579    55. 135.   1   9.54082E-14  CS135
  580    55. 136.   1   3.06302E-20  CS136
  581    55. 137.   1   9.15384E-15  CS137
  582    55. 138.   1   5.79613E-28  CS138
  583    55. 139.   1   6.43393E-33  CS139
  584    56. 124.   1   1.00004E-99  BA124
  585    56. 125.   1   1.00004E-99  BA125
  586    56. 126.   1   1.00004E-99  BA126
  587    56. 127.   1   1.00004E-99  BA127
  588    56. 128.   1   1.00004E-99  BA128
  589    56. 129.   1   1.00004E-99  BA129
  590    56. 130.   1   1.56176E-11  BA130
  591    56. 131.   1   1.76297E-15  BA131
  592    56. 132.   1   1.51132E-11  BA132
  593    56. 133.   1   7.90500E-15  BA133
  594    56. 134.   1   3.69481E-10  BA134
  595    56. 135.   1   1.00960E-09  BA135
  596    56. 136.   1   1.21539E-09  BA136
  597    56. 137.   1   1.74690E-09  BA137
  598    56. 138.   1   1.12407E-08  BA138
  599    56. 139.   1   5.67411E-22  BA139
  600    56. 140.   1   1.08508E-20  BA140
  601    56. 141.   1   7.07307E-33  BA141
  602    56. 142.   1   1.00004E-99  BA142
  603    57. 127.   1   1.00004E-99  LA127
  604    57. 128.   1   1.00004E-99  LA128
  605    57. 129.   1   1.00004E-99  LA129
  606    57. 130.   1   1.00004E-99  LA130
  607    57. 131.   1   1.00004E-99  LA131
  608    57. 132.   1   1.00004E-99  LA132
  609    57. 133.   1   1.00004E-99  LA133
  610    57. 134.   1   1.00004E-99  LA134
  611    57. 135.   1   1.00004E-99  LA135
  612    57. 136.   1   1.00004E-99  LA136
  613    57. 137.   1   3.61392E-15  LA137
  614    57. 138.   1   1.42574E-12  LA138
  615    57. 139.   1   1.56803E-09  LA139
  616    57. 140.   1   2.06967E-20  LA140
  617    57. 141.   1   4.49046E-31  LA141
  618    57. 142.   1   9.03254E-32  LA142
  619    57. 143.   1   1.00004E-99  LA143
  620    58. 130.   1   1.00004E-99  CE130
  621    58. 131.   1   1.00004E-99  CE131
  622    58. 132.   1   1.00004E-99  CE132
  623    58. 133.   1   1.00004E-99  CE133
  624    58. 134.   1   1.00004E-99  CE134
  625    58. 135.   1   1.00004E-99  CE135
  626    58. 136.   1   7.42177E-12  CE136
  627    58. 137.   1   1.84755E-22  CE137
  628    58. 138.   1   9.87369E-12  CE138
  629    58. 139.   1   4.34915E-15  CE139
  630    58. 140.   1   3.55925E-09  CE140
  631    58. 141.   1   2.69768E-14  CE141
  632    58. 142.   1   4.52576E-10  CE142
  633    58. 143.   1   2.94570E-21  CE143
  634    58. 144.   1   2.09061E-19  CE144
  635    58. 145.   1   1.37639E-33  CE145
  636    58. 146.   1   2.66084E-33  CE146
  637    59. 133.   1   1.00004E-99  PR133
  638    59. 134.   1   1.00004E-99  PR134
  639    59. 135.   1   1.00004E-99  PR135
  640    59. 136.   1   1.00004E-99  PR136
  641    59. 137.   1   1.00004E-99  PR137
  642    59. 138.   1   1.00004E-99  PR138
  643    59. 139.   1   1.00004E-99  PR139
  644    59. 140.   1   1.00004E-99  PR140
  645    59. 141.   1   5.95389E-10  PR141
  646    59. 142.   1   2.54364E-20  PR142
  647    59. 143.   1   1.74864E-15  PR143
  648    59. 144.   1   8.83745E-24  PR144
  649    59. 145.   1   1.58149E-31  PR145
  650    59. 146.   1   6.38567E-33  PR146
  651    59. 147.   1   1.00004E-99  PR147
  652    59. 148.   1   1.00004E-99  PR148
  653    59. 149.   1   1.00004E-99  PR149
  654    60. 134.   1   1.00004E-99  ND134
  655    60. 135.   1   1.00004E-99  ND135
  656    60. 136.   1   1.00004E-99  ND136
  657    60. 137.   1   1.00004E-99  ND137
  658    60. 138.   1   1.00004E-99  ND138
  659    60. 139.   1   1.00004E-99  ND139
  660    60. 140.   1   1.00004E-99  ND140
  661    60. 141.   1   2.03654E-29  ND141
  662    60. 142.   1   8.08439E-10  ND142
  663    60. 143.   1   3.61433E-10  ND143
  664    60. 144.   1   7.17834E-10  ND144
  665    60. 145.   1   2.51758E-10  ND145
  666    60. 146.   1   5.24752E-10  ND146
  667    60. 147.   1   2.24045E-15  ND147
  668    60. 148.   1   1.78514E-10  ND148
  669    60. 149.   1   3.47071E-22  ND149
  670    60. 150.   1   1.77075E-10  ND150
  671    60. 151.   1   5.87359E-23  ND151
  672    60. 152.   1   1.00000E-99  ND152
  673    61. 137.   1   1.00004E-99  PM137
  674    61. 138.   1   1.00004E-99  PM138
  675    61. 139.   1   1.00004E-99  PM139
  676    61. 140.   1   1.00004E-99  PM140
  677    61. 141.   1   1.00004E-99  PM141
  678    61. 142.   1   1.00004E-99  PM142
  679    61. 143.   1   1.00004E-99  PM143
  680    61. 144.   1   1.00004E-99  PM144
  681    61. 145.   1   8.07149E-16  PM145
  682    61. 146.   1   1.85258E-24  PM146
  683    61. 147.   1   1.29917E-13  PM147
  684    61. 148.   1   2.08872E-22  PM148
  685    61. 149.   1   1.07726E-20  PM149
  686    61. 150.   1   7.84087E-31  PM150
  687    61. 151.   1   8.07236E-21  PM151
  688    61. 152.   1   3.59050E-32  PM152
  689    61. 153.   1   4.10492E-33  PM153
  690    61. 154.   1   1.00004E-99  PM154
  691    62. 140.   1   1.00004E-99  SM140
  692    62. 141.   1   1.00004E-99  SM141
  693    62. 142.   1   1.00004E-99  SM142
  694    62. 143.   1   1.00004E-99  SM143
  695    62. 144.   1   2.91332E-11  SM144
  696    62. 145.   1   7.08993E-15  SM145
  697    62. 146.   1   3.10888E-19  SM146
  698    62. 147.   1   1.47809E-10  SM147
  699    62. 148.   1   1.09819E-10  SM148
  700    62. 149.   1   1.33172E-10  SM149
  701    62. 150.   1   7.35910E-11  SM150
  702    62. 151.   1   2.38696E-13  SM151
  703    62. 152.   1   2.64516E-10  SM152
  704    62. 153.   1   3.91296E-20  SM153
  705    62. 154.   1   2.28150E-10  SM154
  706    62. 155.   1   1.27211E-22  SM155
  707    62. 156.   1   1.00000E-99  SM156
  708    62. 157.   1   1.30075E-34  SM157
  709    62. 158.   1   1.00004E-99  SM158
  710    63. 143.   1   1.00004E-99  EU143
  711    63. 144.   1   1.00004E-99  EU144
  712    63. 145.   1   1.00004E-99  EU145
  713    63. 146.   1   1.00004E-99  EU146
  714    63. 147.   1   1.00004E-99  EU147
  715    63. 148.   1   1.00004E-99  EU148
  716    63. 149.   1   1.00004E-99  EU149
  717    63. 150.   1   1.00004E-99  EU150
  718    63. 151.   1   1.74883E-10  EU151
  719    63. 152.   1   2.67744E-12  EU152
  720    63. 153.   1   1.95273E-10  EU153
  721    63. 154.   1   1.75233E-12  EU154
  722    63. 155.   1   1.55557E-13  EU155
  723    63. 156.   1   2.59447E-23  EU156
  724    63. 157.   1   8.42780E-31  EU157
  725    63. 158.   1   1.00004E-99  EU158
  726    63. 159.   1   1.00004E-99  EU159
  727    64. 144.   1   1.00004E-99  GD144
  728    64. 145.   1   1.00004E-99  GD145
  729    64. 146.   1   1.00004E-99  GD146
  730    64. 147.   1   1.00004E-99  GD147
  731    64. 148.   1   1.00004E-99  GD148
  732    64. 149.   1   1.00004E-99  GD149
  733    64. 150.   1   1.00004E-99  GD150
  734    64. 151.   1   1.00004E-99  GD151
  735    64. 152.   1   2.54073E-12  GD152
  736    64. 153.   1   8.84317E-15  GD153
  737    64. 154.   1   2.79415E-11  GD154
  738    64. 155.   1   1.89689E-10  GD155
  739    64. 156.   1   2.67900E-10  GD156
  740    64. 157.   1   2.04368E-10  GD157
  741    64. 158.   1   3.28460E-10  GD158
  742    64. 159.   1   1.38249E-20  GD159
  743    64. 160.   1   2.91611E-10  GD160
  744    64. 161.   1   2.59641E-23  GD161
  745    64. 162.   1   1.00000E-99  GD162
  746    65. 147.   1   1.00004E-99  TB147
  747    65. 148.   1   1.00004E-99  TB148
  748    65. 149.   1   1.00004E-99  TB149
  749    65. 150.   1   1.00004E-99  TB150
  750    65. 151.   1   1.00004E-99  TB151
  751    65. 152.   1   1.00004E-99  TB152
  752    65. 153.   1   1.00004E-99  TB153
  753    65. 154.   1   1.00004E-99  TB154
  754    65. 155.   1   1.00004E-99  TB155
  755    65. 156.   1   1.00004E-99  TB156
  756    65. 157.   1   4.71977E-15  TB157
  757    65. 158.   1   5.13365E-23  TB158
  758    65. 159.   1   2.41541E-10  TB159
  759    65. 160.   1   6.97402E-13  TB160
  760    65. 161.   1   2.38821E-16  TB161
  761    65. 162.   1   1.70441E-28  TB162
  762    65. 163.   1   1.36133E-32  TB163
  763    65. 164.   1   1.00004E-99  TB164
  764    65. 165.   1   1.00004E-99  TB165
  765    66. 148.   1   1.00004E-99  DY148
  766    66. 149.   1   1.00004E-99  DY149
  767    66. 150.   1   1.00004E-99  DY150
  768    66. 151.   1   1.00004E-99  DY151
  769    66. 152.   1   1.00004E-99  DY152
  770    66. 153.   1   1.00004E-99  DY153
  771    66. 154.   1   1.00004E-99  DY154
  772    66. 155.   1   1.00004E-99  DY155
  773    66. 156.   1   8.67422E-13  DY156
  774    66. 157.   1   8.62915E-23  DY157
  775    66. 158.   1   1.50506E-12  DY158
  776    66. 159.   1   4.53002E-15  DY159
  777    66. 160.   1   3.78340E-11  DY160
  778    66. 161.   1   3.01567E-10  DY161
  779    66. 162.   1   4.15497E-10  DY162
  780    66. 163.   1   3.99949E-10  DY163
  781    66. 164.   1   4.61773E-10  DY164
  782    66. 165.   1   1.71965E-21  DY165
  783    66. 166.   1   6.32600E-24  DY166
  784    66. 167.   1   5.81854E-33  DY167
  785    66. 168.   1   1.00004E-99  DY168
  786    67. 153.   1   1.00004E-99  HO153
  787    67. 154.   1   1.00004E-99  HO154
  788    67. 155.   1   1.00004E-99  HO155
  789    67. 156.   1   1.00004E-99  HO156
  790    67. 157.   1   1.00004E-99  HO157
  791    67. 158.   1   1.00004E-99  HO158
  792    67. 159.   1   1.00004E-99  HO159
  793    67. 160.   1   1.00004E-99  HO160
  794    67. 161.   1   1.00004E-99  HO161
  795    67. 162.   1   1.00004E-99  HO162
  796    67. 163.   1   1.33006E-13  HO163
  797    67. 164.   1   1.05178E-24  HO164
  798    67. 165.   1   3.69900E-10  HO165
  799    67. 166.   1   1.65632E-15  HO166
  800    67. 167.   1   2.96740E-26  HO167
  801    67. 168.   1   5.40240E-34  HO168
  802    67. 169.   1   1.00004E-99  HO169
  803    68. 154.   1   1.00004E-99  ER154
  804    68. 155.   1   1.00004E-99  ER155
  805    68. 156.   1   1.00004E-99  ER156
  806    68. 157.   1   1.00004E-99  ER157
  807    68. 158.   1   1.00004E-99  ER158
  808    68. 159.   1   1.00004E-99  ER159
  809    68. 160.   1   1.00004E-99  ER160
  810    68. 161.   1   1.00004E-99  ER161
  811    68. 162.   1   1.42922E-12  ER162
  812    68. 163.   1   2.38658E-23  ER163
  813    68. 164.   1   1.66966E-11  ER164
  814    68. 165.   1   1.63333E-21  ER165
  815    68. 166.   1   3.54967E-10  ER166
  816    68. 167.   1   2.42532E-10  ER167
  817    68. 168.   1   2.86690E-10  ER168
  818    68. 169.   1   1.63259E-15  ER169
  819    68. 170.   1   1.60686E-10  ER170
  820    68. 171.   1   1.96378E-21  ER171
  821    68. 172.   1   1.88367E-28  ER172
  822    68. 173.   1   3.66089E-32  ER173
  823    68. 174.   1   1.00004E-99  ER174
  824    68. 175.   1   1.00004E-99  ER175
  825    69. 159.   1   1.00004E-99  TM159
  826    69. 160.   1   1.00004E-99  TM160
  827    69. 161.   1   1.00004E-99  TM161
  828    69. 162.   1   1.00004E-99  TM162
  829    69. 163.   1   1.00004E-99  TM163
  830    69. 164.   1   1.00004E-99  TM164
  831    69. 165.   1   1.00004E-99  TM165
  832    69. 166.   1   1.00004E-99  TM166
  833    69. 167.   1   1.00004E-99  TM167
  834    69. 168.   1   1.00004E-99  TM168
  835    69. 169.   1   1.61083E-10  TM169
  836    69. 170.   1   5.70493E-13  TM170
  837    69. 171.   1   1.12477E-13  TM171
  838    69. 172.   1   3.57470E-23  TM172
  839    69. 173.   1   8.84061E-30  TM173
  840    69. 174.   1   1.27552E-34  TM174
  841    69. 175.   1   1.00004E-99  TM175
  842    69. 176.   1   1.00004E-99  TM176
  843    70. 160.   1   1.00004E-99  YB160
  844    70. 161.   1   1.00004E-99  YB161
  845    70. 162.   1   1.00004E-99  YB162
  846    70. 163.   1   1.00004E-99  YB163
  847    70. 164.   1   1.00004E-99  YB164
  848    70. 165.   1   1.00004E-99  YB165
  849    70. 166.   1   1.00004E-99  YB166
  850    70. 167.   1   1.00004E-99  YB167
  851    70. 168.   1   1.36296E-12  YB168
  852    70. 169.   1   1.48909E-15  YB169
  853    70. 170.   1   3.26729E-11  YB170
  854    70. 171.   1   1.52611E-10  YB171
  855    70. 172.   1   2.36548E-10  YB172
  856    70. 173.   1   1.74773E-10  YB173
  857    70. 174.   1   3.47132E-10  YB174
  858    70. 175.   1   8.11619E-19  YB175
  859    70. 176.   1   1.40154E-10  YB176
  860    70. 177.   1   2.11961E-22  YB177
  861    70. 178.   1   1.00000E-99  YB178
  862    70. 179.   1   1.00000E-99  YB179
  863    70. 180.   1   1.00004E-99  YB180
  864    71. 165.   1   1.00004E-99  LU165
  865    71. 166.   1   1.00004E-99  LU166
  866    71. 167.   1   1.00004E-99  LU167
  867    71. 168.   1   1.00004E-99  LU168
  868    71. 169.   1   1.00004E-99  LU169
  869    71. 170.   1   1.00004E-99  LU170
  870    71. 171.   1   1.00004E-99  LU171
  871    71. 172.   1   1.00004E-99  LU172
  872    71. 173.   1   1.00004E-99  LU173
  873    71. 174.   1   1.00004E-99  LU174
  874    71. 175.   1   1.57545E-10  LU175
  875    71. 176.   1   5.20916E-12  LU176
  876    71. 177.   1   7.74678E-17  LU177
  877    71. 178.   1   1.46273E-28  LU178
  878    71. 179.   1   1.00000E-99  LU179
  879    71. 180.   1   5.71572E-37  LU180
  880    71. 181.   1   1.00004E-99  LU181
  881    71. 182.   1   1.00004E-99  LU182
  882    72. 166.   1   1.00004E-99  HF166
  883    72. 167.   1   1.00004E-99  HF167
  884    72. 168.   1   1.00004E-99  HF168
  885    72. 169.   1   1.00004E-99  HF169
  886    72. 170.   1   1.00004E-99  HF170
  887    72. 171.   1   1.00004E-99  HF171
  888    72. 172.   1   1.00004E-99  HF172
  889    72. 173.   1   1.00004E-99  HF173
  890    72. 174.   1   1.09259E-12  HF174
  891    72. 175.   1   1.95261E-15  HF175
  892    72. 176.   1   3.52362E-11  HF176
  893    72. 177.   1   1.28033E-10  HF177
  894    72. 178.   1   1.89570E-10  HF178
  895    72. 179.   1   9.49889E-11  HF179
  896    72. 180.   1   2.47072E-10  HF180
  897    72. 181.   1   3.01756E-14  HF181
  898    72. 182.   1   1.19181E-18  HF182
  899    72. 183.   1   1.12985E-30  HF183
  900    72. 184.   1   1.00000E-99  HF184
  901    72. 185.   1   1.00004E-99  HF185
  902    73. 169.   1   1.00004E-99  TA169
  903    73. 170.   1   1.00004E-99  TA170
  904    73. 171.   1   1.00004E-99  TA171
  905    73. 172.   1   1.00004E-99  TA172
  906    73. 173.   1   1.00004E-99  TA173
  907    73. 174.   1   1.00004E-99  TA174
  908    73. 175.   1   1.00004E-99  TA175
  909    73. 176.   1   1.00004E-99  TA176
  910    73. 177.   1   1.00004E-99  TA177
  911    73. 178.   1   1.00004E-99  TA178
  912    73. 179.   1   1.00004E-99  TA179
  913    73. 180.   1   1.00000E-99  TA180
  914    73. 181.   1   9.45037E-11  TA181
  915    73. 182.   1   1.93116E-13  TA182
  916    73. 183.   1   4.33025E-21  TA183
  917    73. 184.   1   1.91770E-30  TA184
  918    73. 185.   1   2.44695E-32  TA185
  919    73. 186.   1   1.00004E-99  TA186
  920    74. 172.   1   1.00004E-99  W 172
  921    74. 173.   1   1.00004E-99  W 173
  922    74. 174.   1   1.00004E-99  W 174
  923    74. 175.   1   1.00004E-99  W 175
  924    74. 176.   1   1.00004E-99  W 176
  925    74. 177.   1   1.00004E-99  W 177
  926    74. 178.   1   1.00004E-99  W 178
  927    74. 179.   1   1.00004E-99  W 179
  928    74. 180.   1   7.81084E-13  W 180
  929    74. 181.   1   1.32287E-15  W 181
  930    74. 182.   1   1.61121E-10  W 182
  931    74. 183.   1   8.79065E-11  W 183
  932    74. 184.   1   1.89920E-10  W 184
  933    74. 185.   1   8.66122E-14  W 185
  934    74. 186.   1   1.78697E-10  W 186
  935    74. 187.   1   6.91362E-21  W 187
  936    74. 188.   1   8.37660E-19  W 188
  937    74. 189.   1   4.73601E-32  W 189
  938    74. 190.   1   1.00004E-99  W 190
  939    75. 175.   1   1.00004E-99  RE175
  940    75. 176.   1   1.00004E-99  RE176
  941    75. 177.   1   1.00004E-99  RE177
  942    75. 178.   1   1.00004E-99  RE178
  943    75. 179.   1   1.00004E-99  RE179
  944    75. 180.   1   1.00004E-99  RE180
  945    75. 181.   1   1.00004E-99  RE181
  946    75. 182.   1   1.00004E-99  RE182
  947    75. 183.   1   1.00004E-99  RE183
  948    75. 184.   1   1.00004E-99  RE184
  949    75. 185.   1   9.00137E-11  RE185
  950    75. 186.   1   3.09389E-18  RE186
  951    75. 187.   1   1.62426E-10  RE187
  952    75. 188.   1   3.68116E-20  RE188
  953    75. 189.   1   1.00000E-99  RE189
  954    75. 190.   1   9.14772E-32  RE190
  955    75. 191.   1   2.53231E-34  RE191
  956    76. 179.   1   1.00004E-99  OS179
  957    76. 180.   1   1.00004E-99  OS180
  958    76. 181.   1   1.00004E-99  OS181
  959    76. 182.   1   1.00004E-99  OS182
  960    76. 183.   1   1.00004E-99  OS183
  961    76. 184.   1   5.66715E-13  OS184
  962    76. 185.   1   7.53748E-16  OS185
  963    76. 186.   1   5.06368E-11  OS186
  964    76. 187.   1   3.76370E-11  OS187
  965    76. 188.   1   4.27561E-10  OS188
  966    76. 189.   1   5.18673E-10  OS189
  967    76. 190.   1   8.57677E-10  OS190
  968    76. 191.   1   1.21824E-14  OS191
  969    76. 192.   1   1.34448E-09  OS192
  970    76. 193.   1   4.62266E-20  OS193
  971    76. 194.   1   6.98164E-18  OS194
  972    76. 195.   1   1.62866E-31  OS195
  973    76. 196.   1   1.00004E-99  OS196
  974    77. 181.   1   1.00004E-99  IR181
  975    77. 182.   1   1.00004E-99  IR182
  976    77. 183.   1   1.00004E-99  IR183
  977    77. 184.   1   1.00004E-99  IR184
  978    77. 185.   1   1.00004E-99  IR185
  979    77. 186.   1   1.00004E-99  IR186
  980    77. 187.   1   1.00004E-99  IR187
  981    77. 188.   1   1.00004E-99  IR188
  982    77. 189.   1   1.00004E-99  IR189
  983    77. 190.   1   1.00004E-99  IR190
  984    77. 191.   1   1.18717E-09  IR191
  985    77. 192.   1   3.70982E-12  IR192
  986    77. 193.   1   2.01399E-09  IR193
  987    77. 194.   1   3.26974E-19  IR194
  988    77. 195.   1   5.99448E-30  IR195
  989    77. 196.   1   6.26452E-33  IR196
  990    77. 197.   1   1.00004E-99  IR197
  991    78. 184.   1   1.00004E-99  PT184
  992    78. 185.   1   1.00004E-99  PT185
  993    78. 186.   1   1.00004E-99  PT186
  994    78. 187.   1   1.00004E-99  PT187
  995    78. 188.   1   1.00004E-99  PT188
  996    78. 189.   1   1.00004E-99  PT189
  997    78. 190.   1   8.15715E-13  PT190
  998    78. 191.   1   3.23420E-20  PT191
  999    78. 192.   1   5.36784E-11  PT192
 1000    78. 193.   1   8.57877E-14  PT193
 1001    78. 194.   1   2.16956E-09  PT194
 1002    78. 195.   1   2.23043E-09  PT195
 1003    78. 196.   1   1.68109E-09  PT196
 1004    78. 197.   1   4.03014E-20  PT197
 1005    78. 198.   1   4.82148E-10  PT198
 1006    78. 199.   1   1.88780E-22  PT199
 1007    78. 200.   1   1.00000E-99  PT200
 1008    78. 201.   1   5.26707E-33  PT201
 1009    78. 202.   1   1.00004E-99  PT202
 1010    79. 185.   1   1.00004E-99  AU185
 1011    79. 186.   1   1.00004E-99  AU186
 1012    79. 187.   1   1.00004E-99  AU187
 1013    79. 188.   1   1.00004E-99  AU188
 1014    79. 189.   1   1.00004E-99  AU189
 1015    79. 190.   1   1.00004E-99  AU190
 1016    79. 191.   1   1.00004E-99  AU191
 1017    79. 192.   1   1.00004E-99  AU192
 1018    79. 193.   1   1.00004E-99  AU193
 1019    79. 194.   1   1.00004E-99  AU194
 1020    79. 195.   1   1.00004E-99  AU195
 1021    79. 196.   1   1.00004E-99  AU196
 1022    79. 197.   1   9.30468E-10  AU197
 1023    79. 198.   1   5.39961E-19  AU198
 1024    79. 199.   1   1.43091E-19  AU199
 1025    79. 200.   1   3.91089E-30  AU200
 1026    79. 201.   1   5.48256E-32  AU201
 1027    79. 202.   1   1.00004E-99  AU202
 1028    79. 203.   1   1.00004E-99  AU203
 1029    80. 189.   1   1.00004E-99  HG189
 1030    80. 190.   1   1.00004E-99  HG190
 1031    80. 191.   1   1.00004E-99  HG191
 1032    80. 192.   1   1.00004E-99  HG192
 1033    80. 193.   1   1.00004E-99  HG193
 1034    80. 194.   1   1.00004E-99  HG194
 1035    80. 195.   1   1.00004E-99  HG195
 1036    80. 196.   1   2.57623E-12  HG196
 1037    80. 197.   1   5.55181E-22  HG197
 1038    80. 198.   1   1.72076E-10  HG198
 1039    80. 199.   1   2.88719E-10  HG199
 1040    80. 200.   1   3.97444E-10  HG200
 1041    80. 201.   1   2.27729E-10  HG201
 1042    80. 202.   1   5.18758E-10  HG202
 1043    80. 203.   1   1.22480E-20  HG203
 1044    80. 204.   1   1.20190E-10  HG204
 1045    80. 205.   1   2.75316E-24  HG205
 1046    80. 206.   1   1.00000E-99  HG206
 1047    80. 207.   1   5.00790E-33  HG207
 1048    80. 208.   1   1.00004E-99  HG208
 1049    81. 192.   1   1.00004E-99  TL192
 1050    81. 193.   1   1.00004E-99  TL193
 1051    81. 194.   1   1.00004E-99  TL194
 1052    81. 195.   1   1.00004E-99  TL195
 1053    81. 196.   1   1.00004E-99  TL196
 1054    81. 197.   1   1.00004E-99  TL197
 1055    81. 198.   1   1.00004E-99  TL198
 1056    81. 199.   1   1.00004E-99  TL199
 1057    81. 200.   1   1.00004E-99  TL200
 1058    81. 201.   1   1.00004E-99  TL201
 1059    81. 202.   1   1.00004E-99  TL202
 1060    81. 203.   1   2.78783E-10  TL203
 1061    81. 204.   1   1.26355E-13  TL204
 1062    81. 205.   1   6.72557E-10  TL205
 1063    81. 206.   1   1.27298E-23  TL206
 1064    81. 207.   1   1.51176E-32  TL207
 1065    81. 208.   1   6.18559E-33  TL208
 1066    81. 209.   1   1.00004E-99  TL209
 1067    81. 210.   1   1.00004E-99  TL210
 1068    82. 193.   1   1.00004E-99  PB193
 1069    82. 194.   1   1.00004E-99  PB194
 1070    82. 195.   1   1.00004E-99  PB195
 1071    82. 196.   1   1.00004E-99  PB196
 1072    82. 197.   1   1.00004E-99  PB197
 1073    82. 198.   1   1.00004E-99  PB198
 1074    82. 199.   1   1.00004E-99  PB199
 1075    82. 200.   1   1.00004E-99  PB200
 1076    82. 201.   1   1.00004E-99  PB201
 1077    82. 202.   1   1.00004E-99  PB202
 1078    82. 203.   1   1.00004E-99  PB203
 1079    82. 204.   1   3.15195E-10  PB204
 1080    82. 205.   1   1.18797E-13  PB205
 1081    82. 208.   1   9.61841E-09  PB208
 1082    82. 209.   1   4.59775E-24  PB209
 1083    82. 210.   1   2.58154E-22  PB210
 1084    82. 211.   1   1.00004E-99  PB211
 1085    83. 202.   1   1.00004E-99  BI202
 1086    83. 203.   1   1.00004E-99  BI203
 1087    83. 204.   1   1.00004E-99  BI204
 1088    83. 205.   1   1.00004E-99  BI205
 1089    83. 206.   1   1.00004E-99  BI206
 1090    83. 207.   1   1.00004E-99  BI207
 1091    83. 208.   1   1.00004E-99  BI208
 1092    83. 209.   1   7.61316E-10  BI209
 1093    83. 210.   1   1.56968E-18  BI210
