H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod       10 dzeit  5.77E-02 agej  1.7100E-01
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  5.25883E+00
 # densp  4.24452E+25
 # densa  4.15132E+24
 # total_energy_flux_[erg/(g*s)]  5.26243E+08
  134    23.  51.   1   3.76610E-07  V  51
  135    23.  52.   1   1.59679E-20  V  52
  136    23.  53.   1   1.78726E-34  V  53
  137    24.  48.   1   1.00004E-99  CR 48
  138    24.  49.   1   1.00004E-99  CR 49
  139    24.  50.   1   7.42212E-07  CR 50
  140    24.  51.   1   2.15788E-10  CR 51
  141    24.  52.   1   1.48805E-05  CR 52
  142    24.  53.   1   1.71949E-06  CR 53
  143    24.  54.   1   4.36483E-07  CR 54
  144    24.  55.   1   1.09207E-21  CR 55
  145    24.  56.   1   1.00000E-99  CR 56
  146    25.  51.   1   6.53755E-25  MN 51
  147    25.  52.   1   7.08878E-26  MN 52
  148    25.  53.   1   1.34996E-20  MN 53
  149    25.  54.   1   1.00575E-21  MN 54
  150    25.  55.   1   1.32862E-05  MN 55
  151    25.  56.   1   2.24691E-17  MN 56
  152    25.  57.   1   3.90711E-31  MN 57
  153    26.  52.   1   1.00004E-99  FE 52
  154    26.  53.   1   1.00004E-99  FE 53
  155    26.  54.   1   7.12917E-05  FE 54
  156    26.  55.   1   1.10571E-08  FE 55
  157    26.  56.   1   1.16903E-03  FE 56
  158    26.  57.   1   2.85639E-05  FE 57
  159    26.  58.   1   3.70150E-06  FE 58
  160    26.  59.   1   5.33088E-11  FE 59
  161    26.  60.   1   3.33804E-16  FE 60
  162    26.  61.   1   3.64639E-31  FE 61
  163    27.  55.   1   1.82264E-23  CO 55
  164    27.  56.   1   8.64223E-26  CO 56
  165    27.  57.   1   1.07903E-20  CO 57
  166    27.  58.   1   2.57137E-21  CO 58
  167    27.  59.   1   3.35773E-06  CO 59
  168    27.  60.   1   4.75366E-10  CO 60
  169    27.  61.   1   7.41757E-22  CO 61
  170    27.  62.   1   8.35741E-36  CO 62
  171    27.  63.   1   1.00004E-99  CO 63
  172    28.  56.   1   1.00004E-99  NI 56
  173    28.  57.   1   1.00004E-99  NI 57
  174    28.  58.   1   4.94393E-05  NI 58
  175    28.  59.   1   2.51470E-09  NI 59
  176    28.  60.   1   1.95790E-05  NI 60
  177    28.  61.   1   8.60850E-07  NI 61
  178    28.  62.   1   2.77575E-06  NI 62
  179    28.  63.   1   6.49266E-10  NI 63
  180    28.  64.   1   7.26961E-07  NI 64
  181    28.  65.   1   5.16541E-20  NI 65
  182    28.  66.   1   7.88625E-26  NI 66
  183    28.  67.   1   1.00000E-99  NI 67
  184    28.  68.   1   1.00004E-99  NI 68
  185    29.  60.   1   1.00517E-31  CU 60
  186    29.  61.   1   1.28734E-26  CU 61
  187    29.  62.   1   2.27459E-29  CU 62
  188    29.  63.   1   5.75178E-07  CU 63
  189    29.  64.   1   7.08412E-18  CU 64
  190    29.  65.   1   2.64684E-07  CU 65
  191    29.  66.   1   6.89549E-21  CU 66
  192    29.  67.   1   4.37025E-22  CU 67
  193    29.  68.   1   2.80504E-33  CU 68
  194    29.  69.   1   1.52987E-34  CU 69
  195    29.  70.   1   1.00004E-99  CU 70
  196    29.  71.   1   1.00004E-99  CU 71
  197    30.  62.   1   1.00004E-99  ZN 62
  198    30.  63.   1   1.00004E-99  ZN 63
  199    30.  64.   1   9.92366E-07  ZN 64
  200    30.  65.   1   1.72890E-10  ZN 65
  201    30.  66.   1   5.87698E-07  ZN 66
  202    30.  67.   1   8.76294E-08  ZN 67
  203    30.  68.   1   4.05923E-07  ZN 68
  204    30.  69.   1   9.75787E-20  ZN 69
  205    30.  70.   1   1.38095E-08  ZN 70
  206    30.  71.   1   8.61685E-23  ZN 71
  207    30.  72.   1   1.00000E-99  ZN 72
  208    30.  73.   1   1.58684E-34  ZN 73
  209    30.  74.   1   1.00004E-99  ZN 74
  210    31.  65.   1   8.67330E-31  GA 65
  211    31.  66.   1   1.00004E-99  GA 66
  212    31.  67.   1   2.04383E-28  GA 67
  213    31.  68.   1   3.90805E-31  GA 68
  214    31.  69.   1   3.96535E-08  GA 69
  215    31.  70.   1   1.26123E-20  GA 70
  216    31.  71.   1   2.71172E-08  GA 71
  217    31.  72.   1   4.01053E-19  GA 72
  218    31.  73.   1   4.31182E-30  GA 73
  219    31.  74.   1   5.39162E-35  GA 74
  220    31.  75.   1   1.00004E-99  GA 75
  221    32.  66.   1   1.00004E-99  GE 66
  222    32.  67.   1   1.00004E-99  GE 67
  223    32.  68.   1   1.00004E-99  GE 68
  224    32.  69.   1   1.00004E-99  GE 69
  225    32.  70.   1   4.32073E-08  GE 70
  226    32.  71.   1   2.21725E-12  GE 71
  227    32.  72.   1   5.93711E-08  GE 72
  228    32.  73.   1   1.71390E-08  GE 73
  229    32.  74.   1   8.12490E-08  GE 74
  230    32.  75.   1   3.23663E-20  GE 75
  231    32.  76.   1   1.78394E-08  GE 76
  232    32.  77.   1   3.19701E-20  GE 77
  233    32.  78.   1   6.15948E-32  GE 78
  234    33.  69.   1   1.00004E-99  AS 69
  235    33.  70.   1   1.00004E-99  AS 70
  236    33.  71.   1   1.00004E-99  AS 71
  237    33.  72.   1   1.00004E-99  AS 72
  238    33.  73.   1   1.00004E-99  AS 73
  239    33.  74.   1   1.00004E-99  AS 74
  240    33.  75.   1   1.24440E-08  AS 75
  241    33.  76.   1   7.57930E-19  AS 76
  242    33.  77.   1   1.09562E-19  AS 77
  243    33.  78.   1   2.80553E-31  AS 78
  244    33.  79.   1   2.21807E-33  AS 79
  245    33.  80.   1   1.00004E-99  AS 80
  246    33.  81.   1   1.00004E-99  AS 81
  247    34.  72.   1   1.00004E-99  SE 72
  248    34.  73.   1   1.00004E-99  SE 73
  249    34.  74.   1   1.02917E-09  SE 74
  250    34.  75.   1   7.35528E-13  SE 75
  251    34.  76.   1   1.07833E-08  SE 76
  252    34.  77.   1   9.14914E-09  SE 77
  253    34.  78.   1   2.90068E-08  SE 78
  254    34.  79.   1   5.86677E-12  SE 79
  255    34.  80.   1   6.25249E-08  SE 80
  256    34.  81.   1   6.10288E-21  SE 81
  257    34.  82.   1   1.18201E-08  SE 82
  258    34.  83.   1   3.00634E-22  SE 83
  259    34.  84.   1   1.00000E-99  SE 84
  260    35.  74.   1   1.00004E-99  BR 74
  261    35.  75.   1   1.00004E-99  BR 75
  262    35.  76.   1   1.00004E-99  BR 76
  263    35.  77.   1   1.00004E-99  BR 77
  264    35.  78.   1   1.00004E-99  BR 78
  265    35.  79.   1   1.19251E-08  BR 79
  266    35.  80.   1   1.66743E-20  BR 80
  267    35.  81.   1   1.19191E-08  BR 81
  268    35.  82.   1   8.11369E-19  BR 82
  269    35.  83.   1   1.91497E-21  BR 83
  270    35.  84.   1   1.00000E-99  BR 84
  271    35.  85.   1   1.00000E-99  BR 85
  272    35.  86.   1   1.00004E-99  BR 86
  273    35.  87.   1   1.00004E-99  BR 87
  274    36.  76.   1   1.00004E-99  KR 76
  275    36.  77.   1   1.00004E-99  KR 77
  276    36.  78.   1   3.01789E-10  KR 78
  277    36.  79.   1   1.87094E-20  KR 79
  278    36.  80.   1   2.04361E-09  KR 80
  279    36.  81.   1   2.54586E-12  KR 81
  280    36.  82.   1   1.06876E-08  KR 82
  281    36.  83.   1   1.08236E-08  KR 83
  282    36.  84.   1   5.46136E-08  KR 84
  283    36.  85.   1   9.21793E-12  KR 85
  284    36.  86.   1   1.70506E-08  KR 86
  285    36.  87.   1   1.63357E-22  KR 87
  286    36.  88.   1   1.00000E-99  KR 88
  287    36.  89.   1   2.39745E-34  KR 89
  288    36.  90.   1   1.00004E-99  KR 90
  289    37.  79.   1   1.00004E-99  RB 79
  290    37.  80.   1   1.00004E-99  RB 80
  291    37.  81.   1   1.00004E-99  RB 81
  292    37.  82.   1   1.00004E-99  RB 82
  293    37.  83.   1   1.00004E-99  RB 83
  294    37.  84.   1   1.00004E-99  RB 84
  295    37.  85.   1   1.10046E-08  RB 85
  296    37.  86.   1   5.91207E-13  RB 86
  297    37.  87.   1   4.64303E-09  RB 87
  298    37.  88.   1   1.30147E-22  RB 88
  299    37.  89.   1   1.00000E-99  RB 89
  300    37.  90.   1   1.20778E-34  RB 90
  301    37.  91.   1   1.00004E-99  RB 91
  302    38.  80.   1   1.00004E-99  SR 80
  303    38.  81.   1   1.00004E-99  SR 81
  304    38.  82.   1   1.00004E-99  SR 82
  305    38.  83.   1   1.00004E-99  SR 83
  306    38.  84.   1   2.80201E-10  SR 84
  307    38.  85.   1   1.99995E-13  SR 85
  308    38.  86.   1   5.05139E-09  SR 86
  309    38.  87.   1   3.56893E-09  SR 87
  310    38.  88.   1   4.32127E-08  SR 88
  311    38.  89.   1   2.48783E-13  SR 89
  312    38.  90.   1   8.95935E-19  SR 90
  313    38.  91.   1   1.38558E-30  SR 91
  314    38.  92.   1   1.00004E-99  SR 92
  315    38.  93.   1   1.00004E-99  SR 93
  316    38.  94.   1   1.00004E-99  SR 94
  317    39.  85.   1   1.00004E-99  Y  85
  318    39.  86.   1   1.00004E-99  Y  86
  319    39.  87.   1   1.00004E-99  Y  87
  320    39.  88.   1   1.00004E-99  Y  88
  321    39.  89.   1   1.04498E-08  Y  89
  322    39.  90.   1   2.02271E-19  Y  90
  323    39.  91.   1   4.20113E-18  Y  91
  324    39.  92.   1   6.85012E-30  Y  92
  325    39.  93.   1   1.00004E-99  Y  93
  326    39.  94.   1   1.00004E-99  Y  94
  327    39.  95.   1   1.00004E-99  Y  95
  328    39.  96.   1   1.00004E-99  Y  96
  329    40.  86.   1   1.00004E-99  ZR 86
  330    40.  87.   1   1.00004E-99  ZR 87
  331    40.  88.   1   1.00004E-99  ZR 88
  332    40.  89.   1   2.38559E-31  ZR 89
  333    40.  90.   1   1.33606E-08  ZR 90
  334    40.  91.   1   2.94598E-09  ZR 91
  335    40.  92.   1   4.56128E-09  ZR 92
  336    40.  93.   1   7.81232E-13  ZR 93
  337    40.  94.   1   4.70776E-09  ZR 94
  338    40.  95.   1   2.11789E-13  ZR 95
  339    40.  96.   1   7.77076E-10  ZR 96
  340    40.  97.   1   1.91133E-21  ZR 97
  341    40.  98.   1   4.71720E-34  ZR 98
  342    41.  89.   1   1.00004E-99  NB 89
  343    41.  90.   1   1.00004E-99  NB 90
  344    41.  91.   1   1.00004E-99  NB 91
  345    41.  92.   1   1.00004E-99  NB 92
  346    41.  93.   1   1.64024E-09  NB 93
  347    41.  94.   1   1.83243E-12  NB 94
  348    41.  95.   1   1.08600E-13  NB 95
  349    41.  96.   1   6.14219E-24  NB 96
  350    41.  97.   1   1.36183E-22  NB 97
  351    41.  98.   1   1.00514E-31  NB 98
  352    41.  99.   1   1.18006E-33  NB 99
  353    42.  90.   1   1.00004E-99  MO 90
  354    42.  91.   1   1.00004E-99  MO 91
  355    42.  92.   1   8.79426E-10  MO 92
  356    42.  93.   1   3.09371E-13  MO 93
  357    42.  94.   1   5.60903E-10  MO 94
  358    42.  95.   1   9.75000E-10  MO 95
  359    42.  96.   1   1.03248E-09  MO 96
  360    42.  97.   1   5.98599E-10  MO 97
  361    42.  98.   1   1.52520E-09  MO 98
  362    42.  99.   1   1.59507E-19  MO 99
  363    42. 100.   1   6.22105E-10  MO100
  364    42. 101.   1   1.15527E-22  MO101
  365    42. 102.   1   1.00000E-99  MO102
  366    43.  93.   1   1.00004E-99  TC 93
  367    43.  94.   1   1.00004E-99  TC 94
  368    43.  95.   1   1.00004E-99  TC 95
  369    43.  96.   1   1.00004E-99  TC 96
  370    43.  97.   1   1.28439E-13  TC 97
  371    43.  98.   1   1.06610E-21  TC 98
  372    43.  99.   1   5.73988E-13  TC 99
  373    43. 100.   1   1.25861E-26  TC100
  374    43. 101.   1   1.12361E-22  TC101
  375    43. 102.   1   1.00000E-99  TC102
  376    43. 103.   1   2.76050E-38  TC103
  377    43. 104.   1   1.00004E-99  TC104
  378    43. 105.   1   1.00004E-99  TC105
  379    44.  94.   1   1.00004E-99  RU 94
  380    44.  95.   1   1.00004E-99  RU 95
  381    44.  96.   1   2.49981E-10  RU 96
  382    44.  97.   1   5.81574E-18  RU 97
  383    44.  98.   1   8.67139E-11  RU 98
  384    44.  99.   1   5.90171E-10  RU 99
  385    44. 100.   1   5.92437E-10  RU100
  386    44. 101.   1   8.05524E-10  RU101
  387    44. 102.   1   1.51863E-09  RU102
  388    44. 103.   1   7.70748E-20  RU103
  389    44. 104.   1   9.15021E-10  RU104
  390    44. 105.   1   4.40559E-21  RU105
  391    44. 106.   1   8.78391E-18  RU106
  392    45.  98.   1   1.00004E-99  RH 98
  393    45.  99.   1   1.00004E-99  RH 99
  394    45. 100.   1   1.00004E-99  RH100
  395    45. 101.   1   1.00004E-99  RH101
  396    45. 102.   1   1.00004E-99  RH102
  397    45. 103.   1   8.95039E-10  RH103
  398    45. 104.   1   5.38523E-23  RH104
  399    45. 105.   1   3.99486E-20  RH105
  400    45. 106.   1   1.42366E-23  RH106
  401    45. 107.   1   1.48093E-30  RH107
  402    45. 108.   1   1.00004E-99  RH108
  403    46.  99.   1   1.00004E-99  PD 99
  404    46. 100.   1   1.00004E-99  PD100
  405    46. 101.   1   1.00004E-99  PD101
  406    46. 102.   1   3.66011E-11  PD102
  407    46. 103.   1   5.55316E-15  PD103
  408    46. 104.   1   4.09582E-10  PD104
  409    46. 105.   1   8.21613E-10  PD105
  410    46. 106.   1   1.02076E-09  PD106
  411    46. 107.   1   8.97316E-13  PD107
  412    46. 108.   1   1.00438E-09  PD108
  413    46. 109.   1   2.03633E-20  PD109
  414    46. 110.   1   4.53267E-10  PD110
  415    46. 111.   1   2.02791E-22  PD111
  416    46. 112.   1   1.00000E-99  PD112
  417    47. 101.   1   1.00004E-99  AG101
  418    47. 102.   1   1.00004E-99  AG102
  419    47. 103.   1   1.00004E-99  AG103
  420    47. 104.   1   1.00004E-99  AG104
  421    47. 105.   1   1.00004E-99  AG105
  422    47. 106.   1   1.00004E-99  AG106
  423    47. 107.   1   6.80821E-10  AG107
  424    47. 108.   1   1.12978E-22  AG108
  425    47. 109.   1   6.44597E-10  AG109
  426    47. 110.   1   4.28391E-23  AG110
